Year,Element,Area,Vegetables,Fruits,Grains/Legumes/Nuts/Seeds,Meat/Poultry,Fish/Seafood,Dairy Food Group,Eggs,Vegetal Products,Sugar,Country,Obesity,Undernourished,Population,latlng,region,subregion,ISO_A2,Life expectancy,GDP
Y2017,Fat supply quantity (g/capita/day),Argentina,0.44,22.51,3.4399999999999995,45.15000000000001,0.3900000000000001,27.42,7.36,46.00000000000001,0.0,Argentina,28.5,4.6,45377000.0,"[-34, -64]",Americas,South America,AR,75.15625,6998.575103125
Y2017,Food supply (kcal/capita/day),Argentina,55.0,371.0,1092.0,612.0,13.0,410.0,112.0,2267.0,457.0,Argentina,28.5,4.6,45377000.0,"[-34, -64]",Americas,South America,AR,75.15625,6998.575103125
Y2017,Food supply quantity (kg/capita/yr),Argentina,67.57,149.07,130.94000000000003,109.38,7.31,317.88,31.0,476.1599999999999,47.43,Argentina,28.5,4.6,45377000.0,"[-34, -64]",Americas,South America,AR,75.15625,6998.575103125
Y2017,Protein supply quantity (g/capita/day),Argentina,2.16,18.89,28.17,44.42,2.08,23.96,8.46,36.990000000000016,0.01,Argentina,28.5,4.6,45377000.0,"[-34, -64]",Americas,South America,AR,75.15625,6998.575103125
Y2014,Fat supply quantity (g/capita/day),Armenia,2.06,13.83,5.52,21.46,0.42,42.3,6.02,38.27999999999999,0.0,Armenia,20.9,4.3,2956000.0,"[40, 45]",Asia,Western Asia,AM,73.4,1999.9863176500005
Y2014,Food supply (kcal/capita/day),Armenia,235.0,287.0,1179.0,264.0,10.0,706.0,86.0,2270.0,316.0,Armenia,20.9,4.3,2956000.0,"[40, 45]",Asia,Western Asia,AM,73.4,1999.9863176500005
Y2014,Food supply quantity (kg/capita/yr),Armenia,406.58,133.07,145.35000000000005,44.57,5.5,414.2,22.32,787.2000000000003,51.76000000000001,Armenia,20.9,4.3,2956000.0,"[40, 45]",Asia,Western Asia,AM,73.4,1999.9863176500005
Y2014,Protein supply quantity (g/capita/day),Armenia,10.71,10.31,36.08,16.380000000000006,1.62,40.14,6.56,53.97999999999998,0.01,Armenia,20.9,4.3,2956000.0,"[40, 45]",Asia,Western Asia,AM,73.4,1999.9863176500005
Y2015,Fat supply quantity (g/capita/day),Armenia,2.11,14.22,5.969999999999999,21.46,0.4800000000000001,39.44,6.08,39.28999999999999,0.0,Armenia,20.9,4.3,2956000.0,"[40, 45]",Asia,Western Asia,AM,73.4,1999.9863176500005
Y2015,Food supply (kcal/capita/day),Armenia,239.0,309.0,1187.0,261.0,12.0,676.0,86.0,2308.0,320.0,Armenia,20.9,4.3,2956000.0,"[40, 45]",Asia,Western Asia,AM,73.4,1999.9863176500005
Y2015,Food supply quantity (kg/capita/yr),Armenia,415.33,145.28999999999996,146.82,43.7,6.580000000000001,387.92,22.56,811.0999999999997,52.28,Armenia,20.9,4.3,2956000.0,"[40, 45]",Asia,Western Asia,AM,73.4,1999.9863176500005
Y2015,Protein supply quantity (g/capita/day),Armenia,10.69,10.91,35.73999999999999,15.9,1.94,38.02,6.62,54.16999999999999,0.01,Armenia,20.9,4.3,2956000.0,"[40, 45]",Asia,Western Asia,AM,73.4,1999.9863176500005
Y2016,Fat supply quantity (g/capita/day),Armenia,1.85,12.93,6.1,20.380000000000006,0.46,42.58,6.38,38.64000000000001,0.0,Armenia,20.9,4.3,2956000.0,"[40, 45]",Asia,Western Asia,AM,73.4,1999.9863176500005
Y2016,Food supply (kcal/capita/day),Armenia,217.0,275.0,1194.0,249.0,13.0,710.0,90.0,2267.0,320.0,Armenia,20.9,4.3,2956000.0,"[40, 45]",Asia,Western Asia,AM,73.4,1999.9863176500005
Y2016,Food supply quantity (kg/capita/yr),Armenia,369.64,128.14,148.30999999999997,42.68,6.540000000000001,415.4,23.66,751.3100000000003,52.38999999999999,Armenia,20.9,4.3,2956000.0,"[40, 45]",Asia,Western Asia,AM,73.4,1999.9863176500005
